PRACTICE_CODE,GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PRACTICE_LIST_SIZE
A81001,AF,113.0,TOTAL,3904
A81001,AST,324.0,06OV,3687
A81001,CAN,144.0,TOTAL,3904
A81001,CHD,150.0,TOTAL,3904
A81001,CKD,202.0,18OV,3125
A81001,COPD,96.0,TOTAL,3904
A81001,DEM,27.0,TOTAL,3904
A81001,DEP,375.0,18OV,3125
A81001,DM,321.0,17OV,3172
A81001,EP,38.0,18OV,3125
A81001,HF,51.0,TOTAL,3904
A81001,HYP,703.0,TOTAL,3904
A81001,LD,31.0,TOTAL,3904
A81001,MH,48.0,TOTAL,3904
A81001,NDH,299.0,18OV,3125
A81001,OB,548.0,18OV,3125
A81001,OST,5.0,50OV,1620
A81001,PAD,26.0,TOTAL,3904
A81001,PC,33.0,TOTAL,3904
A81001,RA,25.0,16OV,3221
A81001,STIA,94.0,TOTAL,3904
A81002,AF,570.0,TOTAL,18758
A81002,AST,1428.0,06OV,17763
A81002,CAN,819.0,TOTAL,18758
A81002,CHD,858.0,TOTAL,18758
A81002,CKD,730.0,18OV,15270
A81002,COPD,711.0,TOTAL,18758
A81002,DEM,206.0,TOTAL,18758
A81002,DEP,3275.0,18OV,15270
A81002,DM,1401.0,17OV,15495
A81002,EP,173.0,18OV,15270
A81002,HF,149.0,TOTAL,18758
A81002,HYP,3640.0,TOTAL,18758
A81002,LD,131.0,TOTAL,18758
A81002,MH,182.0,TOTAL,18758
A81002,NDH,1299.0,18OV,15270
A81002,OB,3152.0,18OV,15270
A81002,OST,92.0,50OV,8241
A81002,PAD,159.0,TOTAL,18758
A81002,PC,80.0,TOTAL,18758
A81002,RA,132.0,16OV,15696
A81002,STIA,513.0,TOTAL,18758
A81004,AF,294.0,TOTAL,11346
A81004,AST,690.0,06OV,10570
A81004,CAN,458.0,TOTAL,11346
A81004,CHD,374.0,TOTAL,11346
A81004,CKD,468.0,18OV,9032
A81004,COPD,282.0,TOTAL,11346
A81004,DEM,115.0,TOTAL,11346
A81004,DEP,1053.0,18OV,9032
A81004,DM,765.0,17OV,9143
A81004,EP,92.0,18OV,9032
A81004,HF,130.0,TOTAL,11346
A81004,HYP,1864.0,TOTAL,11346
A81004,LD,86.0,TOTAL,11346
A81004,MH,79.0,TOTAL,11346
A81004,NDH,1523.0,18OV,9032
A81004,OB,1922.0,18OV,9032
A81004,OST,44.0,50OV,4311
A81004,PAD,56.0,TOTAL,11346
A81004,PC,77.0,TOTAL,11346
A81004,RA,82.0,16OV,9259
A81004,STIA,250.0,TOTAL,11346
A81005,AF,291.0,TOTAL,7677
A81005,AST,503.0,06OV,7348
A81005,CAN,463.0,TOTAL,7677
A81005,CHD,325.0,TOTAL,7677
A81005,CKD,176.0,18OV,6412
A81005,COPD,194.0,TOTAL,7677
A81005,DEM,114.0,TOTAL,7677
A81005,DEP,815.0,18OV,6412
A81005,DM,617.0,17OV,6485
A81005,EP,64.0,18OV,6412
A81005,HF,102.0,TOTAL,7677
A81005,HYP,1641.0,TOTAL,7677
A81005,LD,57.0,TOTAL,7677
A81005,MH,82.0,TOTAL,7677
A81005,NDH,967.0,18OV,6412
A81005,OB,864.0,18OV,6412
A81005,OST,49.0,50OV,4002
A81005,PAD,40.0,TOTAL,7677
A81005,PC,56.0,TOTAL,7677
A81005,RA,55.0,16OV,6584
A81005,STIA,248.0,TOTAL,7677
A81006,AF,406.0,TOTAL,14709
A81006,AST,1188.0,06OV,13867
A81006,CAN,551.0,TOTAL,14709
A81006,CHD,645.0,TOTAL,14709
A81006,CKD,537.0,18OV,11645
A81006,COPD,649.0,TOTAL,14709
A81006,DEM,187.0,TOTAL,14709
A81006,DEP,2108.0,18OV,11645
A81006,DM,1204.0,17OV,11840
A81006,EP,123.0,18OV,11645
A81006,HF,151.0,TOTAL,14709
A81006,HYP,2788.0,TOTAL,14709
A81006,LD,144.0,TOTAL,14709
A81006,MH,140.0,TOTAL,14709
A81006,NDH,1118.0,18OV,11645
A81006,OB,2278.0,18OV,11645
A81006,OST,62.0,50OV,5828
A81006,PAD,140.0,TOTAL,14709
A81006,PC,104.0,TOTAL,14709
A81006,RA,100.0,16OV,12021
A81006,STIA,378.0,TOTAL,14709
A81007,AF,262.0,TOTAL,10616
A81007,AST,761.0,06OV,9983
A81007,CAN,435.0,TOTAL,10616
A81007,CHD,432.0,TOTAL,10616
A81007,CKD,396.0,18OV,8436
A81007,COPD,416.0,TOTAL,10616
A81007,DEM,103.0,TOTAL,10616
A81007,DEP,1768.0,18OV,8436
A81007,DM,773.0,17OV,8590
A81007,EP,84.0,18OV,8436
A81007,HF,90.0,TOTAL,10616
A81007,HYP,1872.0,TOTAL,10616
A81007,LD,90.0,TOTAL,10616
A81007,MH,113.0,TOTAL,10616
A81007,NDH,656.0,18OV,8436
A81007,OB,1149.0,18OV,8436
A81007,OST,6.0,50OV,4099
A81007,PAD,93.0,TOTAL,10616
A81007,PC,67.0,TOTAL,10616
A81007,RA,81.0,16OV,8735
A81007,STIA,274.0,TOTAL,10616
A81009,AF,186.0,TOTAL,8139
A81009,AST,572.0,06OV,7704
A81009,CAN,253.0,TOTAL,8139
A81009,CHD,278.0,TOTAL,8139
A81009,CKD,258.0,18OV,6495
A81009,COPD,208.0,TOTAL,8139
A81009,DEM,65.0,TOTAL,8139
A81009,DEP,643.0,18OV,6495
A81009,DM,661.0,17OV,6588
A81009,EP,94.0,18OV,6495
A81009,HF,105.0,TOTAL,8139
A81009,HYP,1313.0,TOTAL,8139
A81009,LD,126.0,TOTAL,8139
A81009,MH,136.0,TOTAL,8139
A81009,NDH,1058.0,18OV,6495
A81009,OB,1374.0,18OV,6495
A81009,OST,68.0,50OV,3183
A81009,PAD,68.0,TOTAL,8139
A81009,PC,30.0,TOTAL,8139
A81009,RA,40.0,16OV,6694
A81009,STIA,171.0,TOTAL,8139
A81011,AF,311.0,TOTAL,11878
A81011,AST,934.0,06OV,11231
A81011,CAN,526.0,TOTAL,11878
A81011,CHD,596.0,TOTAL,11878
A81011,CKD,630.0,18OV,9588
A81011,COPD,453.0,TOTAL,11878
A81011,DEM,121.0,TOTAL,11878
A81011,DEP,2449.0,18OV,9588
A81011,DM,987.0,17OV,9732
A81011,EP,122.0,18OV,9588
A81011,HF,111.0,TOTAL,11878
A81011,HYP,2452.0,TOTAL,11878
A81011,LD,113.0,TOTAL,11878
A81011,MH,141.0,TOTAL,11878
A81011,NDH,897.0,18OV,9588
A81011,OB,1929.0,18OV,9588
A81011,OST,3.0,50OV,5166
A81011,PAD,141.0,TOTAL,11878
A81011,PC,81.0,TOTAL,11878
A81011,RA,100.0,16OV,9863
A81011,STIA,329.0,TOTAL,11878
A81012,AF,85.0,TOTAL,5650
A81012,AST,378.0,06OV,5294
A81012,CAN,130.0,TOTAL,5650
A81012,CHD,160.0,TOTAL,5650
