PRACTICE_CODE,PRACTICE_NAME,IMD_YEAR,IMD_SCORE
A81001,The Densham Surgery,2025,33.519
A81002,Queens Park Medical Centre,2025,31.289
A81004,Acklam Medical Centre,2025,24.556
A81005,Springwood Surgery,2025,16.448
A81006,Tennant Street Medical Practice,2025,34.168
A81007,Bankhouse Surgery,2025,39.266
A81009,Village Medical Centre,2025,37.658
A81011,Chadwick Practice,2025,39.264
A81012,Westbourne Medical Centre,2025,52.819
A81013,Brotton Surgery,2025,33.112
A81014,Queenstree Practice,2025,24.605
A81016,Park Surgery,2025,48.445
A81017,Woodbridge Practice,2025,18.095
A81018,Bentley Medical Practice,2025,30.83
A81019,Crossfell Health Centre,2025,52.403
A81020,Martonside Medical Centre,2025,34.039
A81021,Normanby Medical Centre,2025,37.744
A81022,Hillside Practice,2025,30.908
A81023,The Endeavour Practice,2025,49.491
A81025,The Dovecot Surgery,2025,35.479
A81026,Linthorpe Surgery,2025,45.894
A81027,Yarm Medical Practice,2025,9.338
A81029,Prospect Surgery,2025,51.902
A81030,Borough Road & Nunthorpe Medical Group,2025,27.62
A81031,Havelock Grange Practice,2025,41.823
A81032,The Garth,2025,19.97
A81034,Thornaby & Barwick Medical Group,2025,19.839
A81035,Newlands Medical Centre,2025,45.836
A81036,Norton Medical Centre,2025,28.162
A81037,The Erimus Practice,2025,48.365
A81038,Hirsel Medical Centre,2025,48.015
A81039,Eaglescliffe Medical Practice,2025,9.704
A81040,Marsh House Medical Practice,2025,24.82
A81041,Hart Medical Practice,2025,36.937
A81042,South Grange Medical Group Practice,2025,45.96
A81044,Mckenzie House Surgery,2025,38.436
A81045,The Coatham Road Surgery,2025,32.092
A81046,Woodlands Family Medical Centre,2025,31.481
A81048,Zetland Medical Practice,2025,16.789
A81049,Kings Medical Centre,2025,49.632
A81051,Cambridge Medical Group,2025,30.957
A81052,The Green House Surgery,2025,27.355
A81053,Woodside Surgery,2025,38.762
A81054,The Saltscar Surgery,2025,29.987
A81056,Melrose Surgery,2025,25.007
A81057,Kingsway Medical Centre,2025,27.31
A81058,Coulby Medical Practice,2025,28.117
A81060,The Koh Practice,2025,36.759
A81063,The Headland Medical Centre,2025,40.061
A81064,The Discovery Practice,2025,50.017
A81065,The Eston Surgery,2025,49.487
A81066,Park Lane Surgery,2025,17.563
A81067,Alma Medical Centre,2025,39.069
A81070,Mckenzie Group Practice,2025,33.149
A81602,Dr Rasool,2025,22.051
A81608,Elm Tree Surgery,2025,44.955
A81610,The Roseberry Practice,2025,24.232
A81611,Parkway Medical Centre,2025,26.45
A81612,The Patel Practice,2025,24.26
A81618,Huntcliff Surgery,2025,20.66
A81621,Thorntree Surgery,2025,65.449
A81622,Gladstone House Surgery,2025,45.484
A81629,Riverside Medical Practice,2025,41.238
A81631,West View Millenium Surgery A,2025,37.629
A82003,Ulverston Health Centre (Murray),2025,13.747
A82004,Alston Medical Practice,2025,23.341
A82005,Ambleside Health Centre,2025,15.256
A82006,Appleby Medical Practice,2025,18.93
A82007,Duke Street Surgery,2025,31.035
A82008,Norwood Medical Centre,2025,28.468
A82009,Bridgegate Medical Centre,2025,28.118
A82010,Abbey Road Surgery,2025,22.003
A82012,Brampton Medical Practice,2025,16.183
A82013,Upper Eden Medical Practice,2025,20.792
A82014,Caldbeck Surgery,2025,18.072
A82015,Warwick Road Surgery,2025,28.022
A82016,Carlisle Healthcare,2025,22.718
A82018,Spencer St Surgery,2025,23.763
A82020,Eden Medical Group,2025,24.47
A82021,Castlegate and Derwent Surgery,2025,13.264
A82022,Dalston Medical Group,2025,13.593
A82023,Distington Surgery,2025,22.054
A82024,Seascale Health Centre,2025,17.53
A82025,Captain French Surgery,2025,13.28
A82026,The James Cochrane Pract.,2025,11.243
A82027,Station House Surgery,2025,12.206
A82028,Castlehead Medical Centre,2025,13.52
A82029,The Croft Surgery,2025,17.633
A82030,Lunesdale Surgery,2025,11.228
A82031,Shap Medical Practice,2025,19.593
A82032,Maryport Health Services,2025,33.413
A82033,Waterloo House Surgery,2025,26.009
A82035,Birbeck Medical Group,2025,14.643
A82036,The Lakes Medical Practice,2025,14.519
A82037,Silloth Group Medical Practice,2025,25.096
A82038,Temple Sowerby Medical Practice,2025,16.77
A82039,Dalton Surgery,2025,17.857
A82041,Lowther Medical Centre,2025,26.695
A82044,Fellview Healthcare,2025,27.119
A82045,Wigton Group Medical Practice,2025,22.173
A82046,Windermere Health Centre,2025,12.641
A82047,James Street Group Pract,2025,31.602
A82053,Nutwood Medical Practice,2025,11.687
A82055,Aspatria Medical Group,2025,25.197
A82062,Atkinson Health Centre,2025,33.236
A82064,Westcroft House Surgery,2025,24.227
A82068,Ulverston Community Health Centre,2025,14.6
A82070,St Mary's Surgery,2025,12.285
A82071,Burnett Edgar Medical Ctr,2025,23.754
A82072,Risedale Surgery,2025,31.266
A82075,Mansion House Surgery,2025,27.926
A82608,Sedbergh Medical Practice,2025,13.526
A82613,Wraysdale House Surgery,2025,16.769
A82617,Kirkoswald Surgery,2025,15.277
A82620,Glenridding Health Centre,2025,16.431
A82629,The Family Practice,2025,33.069
A82631,Court Thorn Surgery,2025,14.703
A82646,Longtown Medical Centre,2025,31.196
A82647,Cartmel Surgery,2025,12.787
A82650,Haverthwaite Surgery,2025,15.992
A82651,Duddon Valley Medical Practice,2025,16.85
A82654,Warwick Square Group Practice,2025,24.934
A83001,St andrew's Medical Practice,2025,25.341
A83003,Willington Medical Group,2025,36.135
A83005,Whinfield Medical Practice,2025,24.971
A83006,Orchard Court Surgery,2025,26.155
A83007,Blackhall and Peterlee Practice,2025,40.828
A83008,Hallgarth Surgery,2025,45.455
A83009,Bridge End Surgery,2025,21.995
A83010,Moorlands Surgery,2025,22.253
A83011,Claypath & University Medical Group,2025,10.293
A83012,William Brown Centre,2025,40.149
A83013,Neasham Road Surgery,2025,34.623
A83014,Belmont & Sherburn Medical Group,2025,21.479
A83015,Station View Medical Centre,2025,34.998
A83016,Tanfield View Medical Group,2025,36.52
A83018,Consett Medical Centre,2025,25.15
A83020,North House Surgery,2025,31.292
A83021,Auckland Medical Group,2025,35.641
A83022,The Medical Group,2025,27.994
A83023,Stanley Medical Group,2025,37.669
A83024,West Rainton Surgery,2025,27.071
A83025,Bishopgate Medical Centre,2025,38.81
A83026,Sacriston Medical Centre,2025,26.01
A83027,Coxhoe Medical Practice,2025,20.97
A83028,Middle Chare Medical Group,2025,21.642
A83029,Great Lumley Surgery,2025,18.858
A83030,Dunelm Medical Practice,2025,21.477
A83031,Carmel Medical Practice,2025,15.315
A83032,Woodview Medical Practice,2025,29.943
A83033,Pelton & Fellrose Medical Group,2025,25.952
A83034,Blacketts Medical Practice,2025,28.261
A83035,The Weardale Practice,2025,23.026
A83036,Chastleton Medical Group,2025,8.812
A83037,Bewick Crescent Surgery,2025,28.189
A83038,Cedars Medical Group,2025,19.23
A83040,Clifton Court Medical Practice,2025,33.663
A83041,Murton Medical Centre,2025,35.619
A83043,Old Forge Surgery,2025,23.236
A83044,The Horden Group Practice,2025,43.883
A83045,Ferryhill and Chilton Medical Practice,2025,42.69
A83046,Barnard Castle Surgery,2025,17.14
A83047,Denmark Street Surgery,2025,31.337
A83048,Rockliffe Court Surgery,2025,13.443
A83049,Queens Road Surgery,2025,22.522
A83050,Cestria Health Centre,2025,20.759
A83051,Marlborough Surgery,2025,31.725
A83052,Bishops Close Medical Practice,2025,26.661
A83054,Skerne Medical Group,2025,21.247
A83055,Cheveley Park Medical Ctr,2025,13.84
A83057,East Durham Medical Group,2025,39.84
